pressure_pa,altitude_m
55000,4866.02
55250,4831.95
55500,4798.00
55750,4764.17
56000,4730.47
56250,4696.89
56500,4663.43
56750,4630.09
57000,4596.86
57250,4563.76
57500,4530.77
57750,4497.90
58000,4465.14
58250,4432.50
58500,4399.97
58750,4367.55
59000,4335.25
59250,4303.05
59500,4270.97
59750,4238.99
60000,4207.13
60250,4175.37
60500,4143.71
60750,4112.16
61000,4080.72
61250,4049.38
61500,4018.14
61750,3987.01
62000,3955.98
62250,3925.05
62500,3894.22
62750,3863.49
63000,3832.86
63250,3802.33
63500,3771.89
63750,3741.55
64000,3711.31
64250,3681.16
64500,3651.11
64750,3621.15
65000,3591.29
65250,3561.52
65500,3531.84
65750,3502.25
66000,3472.76
66250,3443.35
66500,3414.03
66750,3384.81
67000,3355.67
67250,3326.61
67500,3297.65
67750,3268.78
68000,3239.99
68250,3211.28
68500,3182.66
68750,3154.12
69000,3125.67
69250,3097.30
69500,3069.02
69750,3040.81
70000,3012.69
70250,2984.65
70500,2956.69
70750,2928.81
71000,2901.01
71250,2873.29
71500,2845.65
71750,2818.09
72000,2790.60
72250,2763.19
72500,2735.86
72750,2708.60
73000,2681.42
73250,2654.31
73500,2627.28
73750,2600.33
74000,2573.45
74250,2546.64
74500,2519.90
74750,2493.24
75000,2466.65
75250,2440.13
75500,2413.68
75750,2387.30
76000,2360.99
76250,2334.76
76500,2308.59
76750,2282.49
77000,2256.46
77250,2230.50
77500,2204.61
77750,2178.78
78000,2153.02
78250,2127.33
78500,2101.70
78750,2076.15
79000,2050.65
79250,2025.22
79500,1999.86
79750,1974.56
80000,1949.32
80250,1924.15
80500,1899.04
80750,1874.00
81000,1849.02
81250,1824.10
81500,1799.24
81750,1774.44
82000,1749.71
82250,1725.03
82500,1700.42
82750,1675.87
83000,1651.37
83250,1626.94
83500,1602.57
83750,1578.25
84000,1554.00
84250,1529.80
84500,1505.66
84750,1481.58
85000,1457.55
85250,1433.58
85500,1409.67
85750,1385.82
86000,1362.02
86250,1338.28
86500,1314.59
86750,1290.96
87000,1267.39
87250,1243.87
87500,1220.40
87750,1196.99
88000,1173.63
88250,1150.32
88500,1127.07
88750,1103.88
89000,1080.73
89250,1057.64
89500,1034.60
89750,1011.61
90000,988.67
90250,965.79
90500,942.95
90750,920.17
91000,897.44
91250,874.76
91500,852.13
91750,829.54
92000,807.01
92250,784.53
92500,762.10
92750,739.72
93000,717.38
93250,695.10
93500,672.86
93750,650.67
94000,628.53
94250,606.43
94500,584.38
94750,562.38
95000,540.43
95250,518.53
95500,496.67
95750,474.85
96000,453.09
96250,431.36
96500,409.69
96750,388.06
97000,366.47
97250,344.93
97500,323.44
97750,301.99
98000,280.58
98250,259.22
98500,237.90
98750,216.63
99000,195.40
99250,174.21
99500,153.06
99750,131.96
100000,110.90
100250,89.89
100500,68.91
100750,47.98
101000,27.09
101250,6.25
101500,-14.56
101750,-35.32
102000,-56.05
102250,-76.73
102500,-97.37
102750,-117.97
103000,-138.53
